,Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A
149,SP1,2012-12-10,Vallecano,Zaragoza,0,2,A,0,1,A,14,13,1,7,16,21,7,1,2,3,0,0,2.25,3.3,3.2
150,SP1,2012-12-15,Sevilla,Malaga,0,2,A,0,0,D,15,9,2,2,14,14,10,7,1,4,1,0,2.1,3.3,3.5
151,SP1,2012-12-15,Getafe,Osasuna,1,1,D,0,0,D,8,7,2,3,12,17,5,3,4,4,0,1,1.95,3.3,4.0
152,SP1,2012-12-15,Mallorca,Ath Bilbao,0,1,A,0,1,A,18,12,4,2,22,16,15,3,3,3,0,0,2.4,3.4,2.8
153,SP1,2012-12-15,Granada,Sociedad,0,0,D,0,0,D,10,15,4,3,27,5,9,4,3,3,0,0,2.4,3.3,2.88
154,SP1,2012-12-16,Valencia,Vallecano,0,1,A,0,0,D,8,8,2,2,17,18,4,4,2,5,0,0,1.44,4.33,7.0
155,SP1,2012-12-16,Zaragoza,Levante,0,1,A,0,1,A,12,10,2,3,15,22,2,3,4,4,0,1,2.0,3.4,3.75
156,SP1,2012-12-16,Barcelona,Ath Madrid,4,1,H,2,1,H,11,8,6,1,15,16,9,5,1,1,0,0,1.25,6.0,10.0
157,SP1,2012-12-16,Real Madrid,Espanol,2,2,D,1,1,D,29,12,10,3,10,14,11,7,2,4,0,0,1.1,10.0,17.0
158,SP1,2012-12-17,Celta,Betis,0,1,A,0,0,D,12,11,2,5,8,7,4,3,2,2,0,0,2.05,3.4,3.5
159,SP1,2012-12-17,La Coruna,Valladolid,0,0,D,0,0,D,18,9,3,4,9,6,10,0,2,0,0,0,2.2,3.3,3.25
160,SP1,2012-12-20,Espanol,La Coruna,2,0,H,1,0,H,9,16,5,4,11,12,3,11,2,2,0,0,1.8,3.6,4.33
161,SP1,2012-12-20,Vallecano,Levante,3,0,H,0,0,D,18,9,7,3,20,17,3,5,3,4,0,0,2.25,3.25,3.25
162,SP1,2012-12-20,Sociedad,Sevilla,2,1,H,1,0,H,12,14,4,4,10,20,3,6,2,3,0,1,2.38,3.4,2.88
163,SP1,2012-12-21,Valencia,Getafe,4,2,H,3,1,H,20,16,8,6,12,17,8,7,3,4,0,0,1.67,3.75,5.0
164,SP1,2012-12-21,Ath Madrid,Celta,1,0,H,0,0,D,12,5,3,0,13,12,6,4,2,4,1,0,1.29,5.5,10.0
165,SP1,2012-12-22,Malaga,Real Madrid,3,2,H,0,0,D,11,18,6,5,9,12,6,7,1,4,0,0,5.5,4.1,1.57
166,SP1,2012-12-22,Betis,Mallorca,1,2,A,1,1,D,17,3,7,2,17,17,9,1,3,4,0,0,1.7,3.6,5.0
167,SP1,2012-12-22,Ath Bilbao,Zaragoza,0,2,A,0,2,A,12,13,3,4,8,19,7,3,1,3,0,0,1.83,3.5,4.2
168,SP1,2012-12-22,Valladolid,Barcelona,1,3,A,0,1,A,5,11,2,5,15,4,2,4,4,1,0,0,13.0,6.0,1.22
169,SP1,2012-12-22,Osasuna,Granada,1,2,A,1,1,D,11,12,4,4,11,7,9,7,2,3,0,0,1.95,3.3,4.0
170,SP1,2013-01-04,Zaragoza,Betis,1,2,A,0,1,A,10,9,1,6,19,12,6,2,5,5,1,0,2.2,3.4,3.2
171,SP1,2013-01-05,Levante,Ath Bilbao,3,1,H,2,1,H,11,11,6,5,15,12,9,4,3,3,0,1,2.25,3.3,3.2
172,SP1,2013-01-05,Granada,Valencia,1,2,A,0,0,D,3,28,2,7,16,10,1,11,3,3,1,0,3.25,3.2,2.25
173,SP1,2013-01-05,Sevilla,Osasuna,1,0,H,0,0,D,17,9,6,3,9,13,11,13,2,1,0,0,1.53,4.1,6.0
174,SP1,2013-01-05,La Coruna,Malaga,1,0,H,0,0,D,12,9,4,3,24,16,3,7,4,3,0,0,3.0,3.4,2.3
175,SP1,2013-01-06,Real Madrid,Sociedad,4,3,H,2,2,D,25,16,9,5,12,12,4,9,2,5,1,1,1.18,7.0,13.0
176,SP1,2013-01-06,Mallorca,Ath Madrid,1,1,D,0,0,D,6,15,2,6,15,14,2,11,1,3,0,0,3.4,3.4,2.1
177,SP1,2013-01-06,Barcelona,Espanol,4,0,H,4,0,H,19,5,8,1,3,17,7,1,0,4,0,0,1.1,10.0,21.0
178,SP1,2013-01-06,Celta,Valladolid,3,1,H,2,1,H,14,12,6,4,14,20,4,4,2,3,0,0,1.95,3.3,4.0
179,SP1,2013-01-07,Vallecano,Getafe,3,1,H,2,0,H,24,11,12,4,17,15,7,2,1,2,0,1,2.2,3.3,3.3
180,SP1,2013-01-11,Ath Bilbao,Vallecano,1,2,A,0,0,D,18,12,7,6,15,23,8,4,4,4,0,1,1.91,3.5,4.0
181,SP1,2013-01-12,Valencia,Sevilla,2,0,H,0,0,D,17,6,4,1,21,14,6,1,3,2,0,0,2.1,3.4,3.4
182,SP1,2013-01-12,Espanol,Celta,1,0,H,1,0,H,14,12,4,1,19,19,7,8,6,1,0,0,2.25,3.2,3.3
